iter	Passed	Remaining
0	101	101579
1	103	51779
2	105	34982
3	106	26578
4	108	21591
5	110	18252
6	112	15899
7	113	14084
8	115	12738
9	117	11626
10	119	10716
11	121	9975
12	122	9326
13	124	8798
14	126	8280
15	127	7830
16	129	7461
17	131	7150
18	133	6876
19	135	6634
20	137	6400
21	138	6172
22	140	5982
23	142	5811
24	145	5657
25	147	5509
26	148	5357
27	150	5223
28	152	5114
29	154	4984
30	154	4839
31	156	4721
32	158	4632
33	159	4542
34	161	4452
35	163	4370
36	165	4300
37	167	4234
38	169	4182
39	171	4116
40	173	4048
41	173	3965
42	174	3883
43	175	3808
44	176	3743
45	177	3689
46	179	3644
47	180	3585
48	181	3525
49	183	3483
50	184	3439
51	186	3396
52	188	3362
53	189	3322
54	191	3282
55	192	3247
56	193	3208
57	195	3170
58	196	3131
59	197	3094
60	199	3064
61	200	3027
62	201	2990
63	201	2953
64	202	2916
65	203	2880
66	204	2846
67	205	2813
68	206	2780
69	206	2748
70	207	2716
71	208	2685
72	209	2655
73	209	2625
74	210	2596
75	211	2567
76	211	2539
77	212	2514
78	213	2489
79	214	2463
80	214	2437
81	215	2414
82	216	2386
83	216	2362
84	217	2338
85	217	2316
86	218	2295
87	219	2274
88	220	2253
89	220	2232
90	221	2212
91	222	2193
92	222	2174
93	223	2156
94	224	2136
95	225	2119
96	225	2103
97	226	2085
98	227	2067
99	227	2050
100	228	2032
101	228	2016
102	229	2000
103	230	1984
104	230	1968
105	231	1954
106	232	1940
107	233	1925
108	233	1910
109	234	1896
110	235	1882
111	235	1868
112	236	1854
113	236	1841
114	237	1828
115	238	1816
116	238	1803
117	239	1791
118	240	1779
119	241	1767
120	241	1756
121	242	1743
122	243	1737
123	244	1726
124	245	1716
125	245	1705
126	246	1693
127	246	1682
128	247	1672
129	248	1661
130	248	1650
131	249	1640
132	250	1630
133	250	1621
134	251	1612
135	252	1602
136	252	1593
137	253	1583
138	254	1574
139	254	1565
140	255	1555
141	255	1546
142	256	1538
143	257	1531
144	258	1522
145	258	1514
146	259	1506
147	260	1498
148	260	1489
149	261	1481
150	262	1473
151	262	1465
152	263	1459
153	264	1451
154	264	1444
155	265	1436
156	266	1429
157	266	1421
158	267	1414
159	268	1407
160	268	1399
161	269	1392
162	270	1386
163	270	1380
164	271	1373
165	271	1366
166	272	1359
167	273	1353
168	273	1346
169	274	1340
170	275	1333
171	275	1327
172	276	1321
173	277	1316
174	277	1310
175	278	1304
176	279	1298
177	279	1292
178	280	1286
179	281	1280
180	281	1274
181	282	1269
182	283	1265
183	284	1259
184	284	1254
185	285	1248
186	285	1243
187	286	1237
188	287	1232
189	287	1227
190	288	1221
191	289	1217
192	289	1211
193	290	1206
194	291	1201
195	291	1196
196	292	1191
197	293	1186
198	293	1182
199	294	1177
200	295	1172
201	295	1168
202	296	1165
203	298	1163
204	299	1159
205	299	1155
206	300	1151
207	301	1146
208	301	1142
209	302	1139
210	303	1135
211	304	1131
